date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
2015-02-17 09:27:00,21.1,31.445,433.0,932.0,0.0048691281856073,1
2015-02-17 09:28:00,21.1,31.445,433.0,923.5,0.0048691281856073,1
2015-02-17 09:29:00,21.1,31.445,433.0,925.75,0.0048691281856073,1
2015-02-17 09:29:59,21.1,31.55,433.0,928.5,0.0048855147065794,1
2015-02-17 09:30:59,21.1,31.5,433.0,934.25,0.0048777114945118,1
2015-02-17 09:32:00,21.1,31.575,433.0,937.666666666667,0.004889416385463,1
2015-02-17 09:33:00,21.1,31.39,433.0,946.75,0.0048605451117476,1
2015-02-17 09:34:00,21.1,31.39,433.0,940.0,0.0048605451117476,1
2015-02-17 09:35:00,21.1,31.39,433.0,936.5,0.0048605451117476,1
2015-02-17 09:36:00,21.1,31.39,433.0,940.333333333333,0.0048605451117476,1
2015-02-17 09:36:59,21.1,31.365,433.0,938.0,0.0048566437922368,1
2015-02-17 09:38:00,21.1,31.39,433.0,937.0,0.0048605451117476,1
2015-02-17 09:39:00,21.1,31.4175,433.0,937.0,0.0048648366192975,1
2015-02-17 09:40:00,21.1,31.39,433.0,939.5,0.0048605451117476,1
2015-02-17 09:40:59,21.1,31.39,433.0,941.0,0.0048605451117476,1
2015-02-17 09:42:00,21.1,31.575,433.0,953.75,0.004889416385463,1
2015-02-17 09:42:59,21.1,31.4266666666667,433.0,953.666666666667,0.0048662671348718,1
2015-02-17 09:43:59,21.1,31.4725,433.0,948.25,0.0048734198106783,1
2015-02-17 09:45:00,21.1,31.445,433.0,951.25,0.0048691281856073,1
2015-02-17 09:46:00,21.15,31.39,433.0,950.5,0.0048756092983119,1
2015-02-17 09:47:00,21.15,31.34,433.0,941.75,0.0048677823376593,1
2015-02-17 09:48:00,21.2,31.39,433.0,942.5,0.0048907147126436,1
2015-02-17 09:49:00,21.175,31.34,433.0,939.75,0.0048753176747134,1
2015-02-17 09:49:59,21.175,31.39,433.0,939.25,0.0048831568458993,1
2015-02-17 09:51:00,21.2,31.29,433.0,939.0,0.0048750121118977,1
2015-02-17 09:52:00,21.2,31.29,433.0,938.0,0.0048750121118977,1
2015-02-17 09:53:00,21.175,31.315,433.0,945.2,0.0048713981626417,1
2015-02-17 09:53:59,21.2,31.34,433.0,950.0,0.0048828633139382,1
2015-02-17 09:55:00,21.2,31.315,433.0,949.5,0.0048789376883353,1
2015-02-17 09:55:59,21.2,31.3233333333333,433.0,948.333333333333,0.0048802462247401,1
2015-02-17 09:56:59,21.2,31.39,433.0,946.0,0.0048907147126436,1
2015-02-17 09:58:00,21.2,31.39,433.0,947.333333333333,0.0048907147126436,1
2015-02-17 09:59:00,21.2,31.34,433.0,952.5,0.0048828633139382,1
2015-02-17 10:00:00,21.2,31.39,433.0,952.666666666667,0.0048907147126436,1
